Symbol,TRDATE,Open,High,Low,Close,Volume
HDFCBANK,24-Mar-98,7.59,7.6,7.28,7.32,3742000
HINDUNILVR,24-Mar-98,163.0,163.45,161.75,162.23,3418500
INFY,24-Mar-98,6.45,6.52,6.2,6.24,15513600
RELIANCE,24-Mar-98,28.47,28.61,27.46,27.65,57124476
SBIN,24-Mar-98,26.61,27.21,26.42,26.83,52779968
HDFCBANK,25-Mar-98,7.53,7.69,7.44,7.65,2228000
HINDUNILVR,25-Mar-98,161.8,162.6,160.2,161.21,2461500
INFY,25-Mar-98,6.39,6.5,6.35,6.4,4992000
RELIANCE,25-Mar-98,28.08,28.56,27.7,28.45,57755268
SBIN,25-Mar-98,26.89,27.39,26.84,27.28,38500474
HDFCBANK,26-Mar-98,7.65,7.68,7.3,7.37,2154000
HINDUNILVR,26-Mar-98,160.5,161.25,159.3,159.57,1962500
INFY,26-Mar-98,6.26,6.37,6.26,6.29,2432000
RELIANCE,26-Mar-98,28.45,28.51,27.66,27.77,44692834
SBIN,26-Mar-98,27.27,27.27,26.43,26.58,40929143
HDFCBANK,27-Mar-98,7.34,7.42,7.21,7.38,908000
HINDUNILVR,27-Mar-98,159.3,160.48,158.2,159.79,2023000
INFY,27-Mar-98,6.3,6.72,6.23,6.63,22400000
RELIANCE,27-Mar-98,27.71,27.97,27.58,27.91,39344675
SBIN,27-Mar-98,26.57,26.94,26.41,26.89,34329925
HDFCBANK,30-Mar-98,7.48,7.48,7.2,7.23,766000
HINDUNILVR,30-Mar-98,160.5,160.9,158.8,159.25,2761000
INFY,30-Mar-98,6.71,7.0,6.71,6.78,18483200
RELIANCE,30-Mar-98,28.06,28.27,27.32,27.43,37226416
SBIN,30-Mar-98,26.97,27.08,26.33,26.4,27997261
HDFCBANK,31-Mar-98,7.14,7.26,7.01,7.03,1788000
HINDUNILVR,31-Mar-98,158.61,159.5,158.32,159.24,1301500
INFY,31-Mar-98,6.83,7.34,6.83,7.23,47462400
RELIANCE,31-Mar-98,27.29,27.53,26.92,27.08,51903315
SBIN,31-Mar-98,26.32,26.61,26.16,26.31,38761199
HDFCBANK,01-Apr-98,6.97,7.36,6.97,7.28,604000
HINDUNILVR,01-Apr-98,159.77,162.0,158.9,161.11,5828000
INFY,01-Apr-98,7.29,7.6,7.2,7.56,34611200
RELIANCE,01-Apr-98,27.46,28.39,27.39,28.29,55698408
SBIN,01-Apr-98,26.51,27.13,26.51,27.06,31204928
HDFCBANK,02-Apr-98,7.3,7.55,7.23,7.35,1915000
HINDUNILVR,02-Apr-98,160.4,162.0,159.4,159.91,4246000
INFY,02-Apr-98,7.43,7.71,7.39,7.56,30873600
RELIANCE,02-Apr-98,28.39,28.78,28.06,28.14,37871427
SBIN,02-Apr-98,27.17,27.27,26.84,26.93,29669190
HDFCBANK,03-Apr-98,7.3,7.47,7.3,7.43,881000
HINDUNILVR,03-Apr-98,159.8,160.4,158.6,159.45,3124000
INFY,03-Apr-98,7.45,7.59,7.38,7.57,11084800
RELIANCE,03-Apr-98,28.08,28.7,28.08,28.62,45699774
SBIN,03-Apr-98,27.16,27.73,26.99,27.53,44649252
HDFCBANK,06-Apr-98,7.5,8.14,7.45,7.97,4969000
HINDUNILVR,06-Apr-98,160.2,163.7,159.1,161.23,6753500
INFY,06-Apr-98,7.66,7.87,7.6,7.84,20070400
RELIANCE,06-Apr-98,28.74,28.89,28.47,28.6,36362955
SBIN,06-Apr-98,27.73,27.91,27.43,27.62,28953255
HDFCBANK,07-Apr-98,7.99,8.1,7.75,7.89,2811000
HINDUNILVR,07-Apr-98,160.5,167.48,160.5,164.15,13400000
INFY,07-Apr-98,7.86,8.3,7.84,8.0,16153600
RELIANCE,07-Apr-98,28.55,29.01,28.33,28.68,55826053
