,2009-05-18
0,0.0
1,-16.730434782608704
2,-14.942608695652169
3,-7.77739130434783
4,-12.013913043478269
5,-19.081739130434787
6,-9.634782608695648
7,-14.852173913043472
8,-19.130434782608695
9,-18.010434782608687
10,-18.198260869565214
11,-14.504347826086953
12,-15.81217391304347
13,-18.601739130434787
14,-17.80869565217391
15,-12.173913043478262
16,-18.75478260869566
17,-25.732173913043482
18,-21.906086956521744
19,-17.16869565217392
20,-14.43478260869565
21,-19.443478260869558
22,-12.772173913043488
23,-10.706086956521728
24,-9.488695652173904
25,-7.951304347826092
26,-4.438260869565214
27,-5.829565217391301
28,-7.415652173913041
29,-13.252173913043485
30,-16.737391304347828
